--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_14,1,"'1,1.88749
1,l_17,6,"'1,-13.0282
1,l_18,8,"'1,7.24755
1,l_15,2,"'1,17.6938
1,l_16,3,"'1,26.9093
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,8,1.09998,0
0,2,1.09144,2.55355
0,14,1.06288,0.864055
0,10,1.07409,0.525796
0,3,1.0654,-2.18077
0,7,1.08878,-0.0269524
0,9,1.07918,-0.249075
0,6,1.1,5.73004
0,12,1.08655,4.64293
0,11,1.08166,2.95074
0,1,1.09563,3.17109
0,13,1.08011,4.20858
0,4,1.06969,0.357483
0,5,1.07327,1.62837
1,8,1.09998,-1.63455
1,2,1.09144,0.972634
1,14,1.05982,-0.955728
1,10,1.07339,-1.10749
1,3,1.0654,-3.76226
1,7,1.08837,-1.66201
1,9,1.07842,-1.90995
1,6,1.1,4.22326
1,12,1.05875,1.8336
1,11,1.08122,1.38089
1,1,1.09563,1.5912
1,13,1.07384,2.20819
1,4,1.06951,-1.23002
1,5,1.07319,0.0520373
--end of bus
----Delta
contingency id,Delta(MW)
1,1.97618e-05
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_11,7,9,"'BL'",4.14067,9.50312,-4.14067,-9.4034
0,i_14,10,11,"'BL'",-22.9767,6.12424,23.3788,-5.18287
0,i_17,4,7,"'BL'",3.82084,2.61531,-3.82084,-2.57784
0,i_18,4,9,"'BL'",2.26754,4.92011,-2.26754,-4.78616
0,i_19,5,6,"'BL'",-35.9515,24.8551,35.9515,-21.2247
0,i_1,1,5,"'BL'",15.9644,4.35587,-15.8257,-9.56977
0,i_6,4,5,"'BL'",-57.3731,9.7648,57.7682,-8.51831
0,i_9,6,13,"'BL'",26.1625,3.83353,-25.7803,-3.08079
0,i_4,2,5,"'BL'",13.2244,5.10355,-13.1162,-8.82702
0,i_3,2,4,"'BL'",27.035,3.01748,-26.6661,-5.86835
0,i_10,7,8,"'BL'",-0.319828,-6.92528,0.319828,6.9967
0,i_12,9,10,"'BL'",-14.0622,11.9246,14.155,-11.678
0,i_2,2,3,"'BL'",49.57,1.98597,-48.5924,-2.96203
0,i_0,1,2,"'BL'",22.0005,-2.50207,-21.9223,-3.57311
0,i_15,12,13,"'BL'",3.75511,-0.629661,-3.72798,0.654205
0,i_8,6,12,"'BL'",9.49177,1.30574,-9.39852,-1.11167
0,i_16,13,14,"'BL'",17.8426,-2.85472,-17.3642,3.82873
0,i_13,9,14,"'BL'",-4.21343,8.568,4.31293,-8.35635
0,i_5,3,4,"'BL'",-26.2677,7.54906,26.7155,-7.86498
0,i_7,6,11,"'BL'",27.8381,-2.44595,-27.2251,3.72967
0,i_11,7,9,"'BL'",0.0461698,0.0985565,-0.0461698,-0.0974565
0,i_14,10,11,"'BL'",-0.235606,0.0625855,0.239838,-0.0526787
0,i_17,4,7,"'BL'",0.0429122,0.0272996,-0.0429122,-0.0268473
0,i_18,4,9,"'BL'",0.0253962,0.0503541,-0.0253962,-0.048902
0,i_19,5,6,"'BL'",-0.365573,0.248579,0.365573,-0.211433
0,i_1,1,5,"'BL'",0.159414,0.0439994,-0.158027,-0.0961358
0,i_6,4,5,"'BL'",-0.57914,0.0968607,0.583164,-0.0841676
0,i_9,6,13,"'BL'",0.34492,0.0513731,-0.338271,-0.0382805
0,i_4,2,5,"'BL'",0.131897,0.0516437,-0.130815,-0.088876
0,i_3,2,4,"'BL'",0.271343,0.0310142,-0.267624,-0.059424
0,i_10,7,8,"'BL'",-0.00325756,-0.0717093,0.00325756,0.0724755
0,i_12,9,10,"'BL'",-0.146404,0.120739,0.147389,-0.118123
0,i_2,2,3,"'BL'",0.495756,0.0198511,-0.485978,-0.0296026
0,i_0,1,2,"'BL'",0.220334,-0.0251246,-0.21955,-0.0356201
0,i_15,12,13,"'BL'",-0.0564342,-0.0174133,0.0571216,0.0180353
0,i_16,13,14,"'BL'",0.164493,-0.0325678,-0.160325,0.0410542
0,i_13,9,14,"'BL'",-0.0288681,0.0883383,0.0298121,-0.0863304
0,i_5,3,4,"'BL'",-0.261649,0.0762015,0.266102,-0.0794216
0,i_7,6,11,"'BL'",0.284712,-0.0247215,-0.278301,0.0381467
--end of line flow
